"1:...兴学堂，乡乡办小学，儿童7岁入小学，学习八年毕业。儿童""不入学者，罚其父母。""（康有为语）甚至提出了更加严厉的督促措施来迫使父母送子女入学，主张不但要罪其父母，而且""一家不读书收，五家皆坐罪。""（谭嗣同语）...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
",a,0
"2:...差，实施义务教育困难比较大的地方，这种现象更为严重，留级复读率有达到100％的，这使得义务教育的实施更加困难。实践证明，从端正办学指导思想入手，改进学籍管理办法，包括小学、初中学生的入学、转学、休学、复学和...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
",a,0
"3:...它较融合课程更具有综合性。采用广域课程可减少课程设计中的分科数目，使教给学生的知识不致过于零碎，而且更加接近生活。但也存在两大问题：一是教科书怎样把学科的知识综合起来才好，这难以很好地解决；二是师资问题。过...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
",v,1
"4:...都召开了全国推进义务教育均衡发展现场经验交流会，要求用3到5年的时间，努力做到区域内义务教育资源配置更加合理。2009年，教育部在河北省邯郸市又召开全国推进义务教育均衡发展现场经验交流会，认真总结交流了各地...		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
",a,0
"5:...的，这样的名师实在是怪异的名师，他们扬名于高分学生、陶醉于编辑试题辅导资料，让本来繁荣的应试资料市场更加五彩缤纷，这样的怪异名师还是少点好，因为他们在间接地给学生增加负担。		  【文件名:\当代\CWAC\AEE0003.txt	文章标题:	作者:】
",a,0
"6:...包括“高度控制”、“强力推行”或只是简单惩罚等各种惩戒性措施时,孩子们会变得更具有破坏性和侵略性,并更加充满敌意。?而在教育实践中，惩罚确实又是人们最容易采用而又使用不当的教育手段。许多案例和调查证明,滥用...		  【文件名:\当代\CWAC\AEJ0007.txt	文章标题:	作者:】
",v,0
"7:...残疾儿童等)无法接受义务教育的困境。如果在教育部建立特殊教育司，各省能设立专门特殊教育管理机构,则会更加有利于特殊教育的统筹规划和管理。		  【文件名:\当代\CWAC\AEJ0009.txt	文章标题:	作者:】
",o,0
"9:...在近、现代，由于科学文化发展，政治逐渐复杂，国家政治上所需要的人才，必须具有较高的科学文化水平，这就更加需要依靠学校教育来培养。当前世界上出现了""专家政治""的趋向，即一些专家学者进入了国家的领导集团，这就表...		  【文件名:\当代\CWAC\AEM0016.txt	文章标题:	作者:】
",v,0
"10:...得到新的发展。每一次适应新的问题或情境，儿童的智力就向前发展一步，从而使其改变对外部世界的认识，产生更加适应的认知结构，这种适应即""平衡""。当新的信息输入与原有的认知结构不符时，再次产生不平衡。经同化和调节...		  【文件名:\当代\CWAC\AEM0016.txt	文章标题:	作者:】
",v,0
"11:...主义的膨胀，以及层出不穷的社会问题，它对教育与整个社会的联系和教育对个人参与社会生活及谋生的意义显得更加关注，但从价值等级上讲，尤其是从终极价值上讲，内在价值仍然高于外在价值。		  【文件名:\当代\CWAC\AEM0016.txt	文章标题:	作者:】
",v,0
"13:...在方向、目的、基本内容上是一致的。素质教育从人的身心发展的素质结构入手，为培养与提高学生的素质提供了更加丰富和明确的培养目标体系，并且使全面发展教育的内容更为明确，使之有较强的可操作性。素质教育目标体系的建...		  【文件名:\当代\CWAC\AEM0016.txt	文章标题:	作者:】
",a,0
"14:...信手段来实施教学与学习活动。在网络通信技术与通信手段的支持下,教学模式不仅日趋丰富，而且原有教学模式更加优化。从自主探究式学习，到协作化学习、基于资源的学习，到原有的讲授型教学模式、问题解决型教学模式、案例研究型教学模式等都加完善,并呈现出新的特点。		  【文件名:\当代\CWAC\AET0017.txt	文章标题:	作者:】
",a,0
"15:...辅助教育发展到一个更高的阶段。其中，超文本、超媒体的信息组织技术的实用化,也使得教学内容的组织和呈现更加符合人类的思维模式,计算机辅助教学的方式、方法加合理、有效。		  【文件名:\当代\CWAC\AET0017.txt	文章标题:	作者:】
",v,0
"16:...帮助学生进行数学知识的学习和工程计算领域中的问题求解。此外，开放的网络环境下的教学资源也使学生的学习更加方便、自主。		  【文件名:\当代\CWAC\AET0017.txt	文章标题:	作者:】
",a,0
"18:...论，结果发现一二十年前处于前沿的科学技术和工艺技术都已变得过时。20世纪七八十年代以来,这种状况变得更加突出。人们发现，要在这样的社会中生活、生存、竞争、发展，仅靠在学校的一次性教育已远远不能适应，而必须终...		  【文件名:\当代\CWAC\AET0017.txt	文章标题:	作者:】
",a,0
"19:...技能，把企业发展成为一个“学习型组织，。特别是金融、高科技、政府与公共服务、交通运输和生产制造等行业更加迫切希望开展在线学习。		  【文件名:\当代\CWAC\AET0017.txt	文章标题:	作者:】
",v,0
"20:...，比喻可以变抽象为具体，化深奥为浅显。多媒体课件设计中要更多地利用视听表现手段的直观形象，使比喻变得更加生动，从而启发学生的联想、分析等思维活动，促进学生更有效地学习。		  【文件名:\当代\CWAC\AET0017.txt	文章标题:	作者:】
",a,0
"21:...单机课件的功能，可以达到超媒体连接，使得各种多媒体信息获得集成，传输速度和存储容量大大提高，人机交互更加便利，跨越空间的即时交流也成为现实。教学需要的动态模拟、资料查询、讨论交流、实时练习、情景创设以及寓乐...		  【文件名:\当代\CWAC\AET0017.txt	文章标题:	作者:】
",a,0
"22:...不习惯。在上任政务处长不久即写信给美国历史学者费正清（J.K.Fairbank)说：“就生活而论，我更加喜欢当教授。当我回想起与充当教师有关的悠闲的生活、书籍和著作之际，有时我不禁潸然泪下。”[115]但很快他就进入角色，全身心地投入他自诩为类似法国“内阁政务处首席顾问”、实际上仅仅是行政院兼院长蒋介石的秘书一类的工作[116]。他称赞蒋介石“甚至比美国历届总统加新派”[117]。以后，工作虽有变动，但他一干就是30年，乐此不疲地做国民党政府的官僚。		  【文件名:\当代\CWAC\AHB0018.txt	文章标题:	作者:】
",v,0
"24:...。但是湖南地方上的士大夫阶级确承认他的领袖地位。他对洪秀全的态度就是当时一般士大夫的态度，不过比别人更加积极而已。		  【文件名:\当代\CWAC\AHB0018.txt	文章标题:	作者:】
",a,1
"25:同治光绪年间的社会，如何反对新人新政，我们从郭嵩焘的命运可以更加看得清楚。郭氏的教育及出身和当时一般士大夫一样，并无特别，但是咸丰末年英法联军之役，他跟着僧格林沁在大...		  【文件名:\当代\CWAC\AHB0018.txt	文章标题:	作者:】
",a,0
"26:...各省，因为沿海的省分是中国的精华，而且帝国主义者的压迫在东方的过于在西方的。自从日本维新以后，李鸿章更加焦急。他觉得日本是中国的真敌，因为日本一心一意谋我，他无所图，而且相隔既近，动兵比较容易。至于西洋各国...		  【文件名:\当代\CWAC\AHB0018.txt	文章标题:	作者:】
",a,0
"27:...后复政以后，她硬不割让三门湾给意大利。她令浙江守土的官吏准备抗战。后意大利居然放弃了他的要求，顽固党更加觉得强硬对付洋人是对的。		  【文件名:\当代\CWAC\AHB0018.txt	文章标题:	作者:】
",v,0
"28:　　有的方面是我们自己多年从事研究的专业领域，有的方面则超出了我们的专业领域，为了使本书涵盖的内容更加广泛、更能体现近年国内学界的最新研究成果、更能贴近高等教育改革的方向，使专业学习和研究更能贴近社会需求...		  【文件名:\当代\CWAC\AHE0019.txt	文章标题:	作者:】
",a,0
"29:...形成概况：历史学最早产生于春秋战国，孔子就已经开始历史学教育，创作《春秋》著作。到汉朝司马迁父子建立更加完善的历史学体系和创作形式，历史学已经开始成为官方研究重点。东汉的班固就是在专门保存书籍的兰台（御史台...		  【文件名:\当代\CWAC\AHE0021.txt	文章标题:	作者:】
",a,0
"30:...施的统治。葛兰西还认为,霸权/领导权的力量总是依据社会文化条件而不断地调整、修正,它们是可以商谈的、更加精致的,所以反霸权的策略也应当是不断修正的。Said)所说的可怕的从属性(d read fu l seco nd-arin es s),装潢门面的民族独立不能掩盖由殖民占领所导致的政治、经济尤其是文化上的灾难性后果。[13]全球化导致中国他者形象发生了显著的变化。在此之前,他者形象的构造动机和形象意味都是比较明显的。全球化带来的同一性,以及后现代的中心消失、价值抹平、国家边界的模糊、空间认同和身份认同的变异,导致想象的双方都在进行调整。但是,具有塑造权的一方只不过使策略更为隐微      而作为形象的被塑造方却遭遇了双重认同的危机(认同西方并且认同西方构想出来的中国),遭遇了某种空前的挣扎与陷落。全球化确实给第三世界的国家带来了某种经济发展、生活改善以至于腾飞的机遇,但是并没有改变它们乃是世界经济链条上最为薄弱的一环的现实,甚至还带给它们新的灾难。正如殷惠敏所指出的:在全球化的过程中,只有少数国家缩小了同北方的差距,可是对于大多数国家来说,这个差距是扩大了。全球化对一国内部的影响,根据一些社会调查似乎也是扩大了贫富差距。这显然不是一场公平的游戏。[14]更令笔者关注的是,它所带来的文化冲击以及文化重塑造成了第三世界(尤其是以前闭关锁国的如中国一般的国家)关于自身定位的两难境地,它们在进行文化转型的时候将面临着传统/西方的双重断裂,不但要面对西方-他者,而且要面对自身文化分裂出来的传统-他者,在多方力量的挤压下,矛盾地、艰难地、甚或是反复无常地进行着以寻找自身文化定位为目标的坎坷跋涉。可以说,全球化带来了它们构想/表述自身的复活,同时也带来了它们构想/表述自身的困惑与迷失。中国在巨大的历史阴霾中慢慢苏醒,但还没来得及在反思与寻根中重新指称自我就已经被卷入另一场生死未卜的巨大潮流中。如果说这样的卷入与五四时的卷入一般同样带上了很大的无奈的话,那么此时此刻的无奈更添加了些许久经坎坷之后的茫然与痛楚对于现代性追求中断后、继续征程的难以名状的矛盾心理。[15]20世纪80...		  【文件名:\当代\CWAC\AHJ0026.txt	文章标题:	作者:】
",a,0
"31:...史旺盛而多样的需求，成为突出的时代特征之一。这一趋势，促使历史内容和历史普及有了明显变化。历史的内容更加全面与平衡，从政治史唱主角，到经济史、文化史、社会史并重；从偏重社会上层历史，到社会上层和下层历史并重。历史普及的社会面更广，除面向社会大众，中学历史教育的""普及""色彩也很浓重，向学生传授和普及历史知识，成为已经全面展开的中学""历史课程改革""目标之根本所在。历史普及的形式加多样，除传统的历史书写方式，""史话""、""通俗史书""、""细说历史""等，其它如历史小说《李自成》、《曾国藩...		  【文件名:\当代\CWAC\AHM0032.txt	文章标题:	作者:】
",a,0
"32:...业""的追求，而且也有史学家潜心地为大众写作。这就夯实了史学的社会基础，扩大了史学的社会影响，史学也就更加具有现代的""专业""与""大众""相间的""完整""意义。		  【文件名:\当代\CWAC\AHM0032.txt	文章标题:	作者:】
",v,0
"34:...9世纪的罗马史），塔西陀的《历史》、《编年史》和《日耳曼尼亚志》等。档案在世界史研究中从近代以来亦被更加广泛地应用。我们知道，马克思为了撰写《资本论》中关于英国劳工法的问题，就曾经最广泛地翻阅、利用过大英博...		  【文件名:\当代\CWAC\AHT0034.txt	文章标题:	作者:】
",a,0
"35:同时，历史文献通过文字的记述，可以更加具体甚至更为形象、逼真、生动地表现出历史的发展进程及其各个侧面。例如，关于历史上的典章制度，常常是靠了...		  【文件名:\当代\CWAC\AHT0034.txt	文章标题:	作者:】
",a,0
"37:...例子还偏重于对某些具体的零碎的历史问题的看法和观点的话，那么在史学研究者、工作者那里，贝lj往往具有更加系统、全面、抽象和更带有哲学意义的对于历史总体的认识与观点。这种历史观带有一般的普遍的性质，它常常是当...		  【文件名:\当代\CWAC\AHT0034.txt	文章标题:	作者:】
",a,0
"38:...、政治制度，还是考试制度等等方面，都十分地突出。这就必然地要求能够从历史上得到借鉴，从而使得这些革新更加的合理与完善。可是，恰恰从《后汉书》以后，诸纪传体史书于书志上很不完备。《三国志》、《梁书》、《陈书》...		  【文件名:\当代\CWAC\AHT0034.txt	文章标题:	作者:】
",a,0
"39:事实证明，懂得人类社会的历史发展规律，就能够更加自觉地治国安邦，参加现实的变革，改造社会，推动人类的进步事业；史学在这里是能够发挥自己的重大作用的。		  【文件名:\当代\CWAC\AHT0034.txt	文章标题:	作者:】
",a,0
"40:...主义产生以后，由于人们对于历史发展规律的认识完全建立在科学的基础上，于是通过研究历史，预测未来，也就更加地真实可靠。正像列宁所说的，对人类社会未来的预测，“马克思丝毫没有陷入空想主义，他没有虚构和幻想‘新’...		  【文件名:\当代\CWAC\AHT0034.txt	文章标题:	作者:】
",a,0
"41:...区别犹如今日“印刷体”与“手写体”的不同。不过，周原甲骨文与殷墟甲骨文在刻写风格上有差异，前者比后者更加草率难识(参见图5-1、图5-2、图5-3、图5-4、图5-5、图5-6、图5-7)。		  【文件名:\当代\CWAC\ALB0035.txt	文章标题:	作者:】
",a,1
"42:...46年，史留完全可能在两朝为官，因此，旧说史籀是周宣王太史之说,不但不能轻易否定,而且征之铜器铭文，更加明确无疑。根据《说文解字》所收籀文字体与石鼓文和春秋时代的秦国金文相同，而与周宣王时金文不相似的事实，...		  【文件名:\当代\CWAC\ALB0035.txt	文章标题:	作者:】
",a,1
"43:2. 笔画更加线条化。笔形或圆转或笔直，线条均匀，不像殷周金文笔画粗细不均，向更脱离图画性质的小篆发展。		  【文件名:\当代\CWAC\ALB0035.txt	文章标题:	作者:】
",n,1
"44:东汉时代，已出现一些用笔比隶书更加灵活而又不像草书那样不拘点画只存轮廓大意的字体。例如武威汉简中的建武耿将军方牍，虽书写潦草，然而点...		  【文件名:\当代\CWAC\ALB0035.txt	文章标题:	作者:】
",a,1
"45:...因为音韵学家大多喜欢故弄玄虚，将一些本来很简单的概念硬是与阴阳五行，天地日月什么的搅和在一起，旁人就更加难以看懂。不过，今天我们有了现代语言学作为工具，那些原本玄妙无比的名词只需细加解析，便会昭如日月，人皆可见。我写这个小文的目的之一，也就是为了让不懂汉语音韵知识的人，能够从此对之有...		  【文件名:\当代\CWAC\ALE0041.txt	文章标题:	作者:】
",a,0
"46:在语感上,这种省略式的感情色彩反而显得更浓,语气也显得更加夸张。		  【文件名:\当代\CWAC\ALJ0043.txt	文章标题:	作者:】
",a,0
"47:...我们的教学,一般说来,我们十分重视语言技能的训练,强调听、说、读、写均衡发展,仅此是不够的。现在人们更加关注的是,在某个级别学习者以这样的语言技能‘能做什么”过去,我们也注重语言知识的传授,语音、词汇、语法、汉字,近年来又加之篇章’这只是就语言本身而言。现在看来,似应在功能和话题的导引下,加关注学习者的情感态度,即兴趣、动机、自信、意志和合作精神等影响学生学习过程和学习效果的相关因素。		  【文件名:\当代\CWAC\ALJ0045.txt	文章标题:	作者:】
",v,1
"48:...可分割的整体,共同促进综合语言能力的形成。这样的认识,显然比我们原来理解的教学内容要开阔许多，内涵也更加丰富。		  【文件名:\当代\CWAC\ALJ0045.txt	文章标题:	作者:】
",a,0
"49:...始终从属于语言，是一种辅助的交际工具。旗语、电报代码等交际工具，大多是在语言和文字的基础上产生的，是更加后起的交际工具，离开语言与文字，它们就不能独立存在。这些交际工具都有特殊的服务领域，使用的范围相当狭窄...		  【文件名:\当代\CWAC\ALT0049.txt	文章标题:	作者:】
",a,1
"50:...同的变格规则。一个形容词有长尾、短尾的区别，它们又各有数、性、格的变化，共有四十八个形式。动词的变化更加复杂，一个动词的各种变化形式加在一起不下一百种。记住各种词形变化是外国人学习这类形态丰富的语言时的主要困难。		  【文件名:\当代\CWAC\ALT0049.txt	文章标题:	作者:】
",a,1
"51:　　在词义的概括中把特殊的、复杂的东西变成一般的、简单的东西，这在复合词所表示的意义中可以看得更加清楚。比方“谢幕”这个词概括了剧场里一种常见的热烈场面，很难用一句话清楚而确切地表达出来。《现代汉语词...		  【文件名:\当代\CWAC\ALT0049.txt	文章标题:	作者:】
",a,0
"53:　　在三、四世纪有些道家的人试图使道家更加接近儒家；在十一、二世纪也有些儒家的人试图使儒家加接近道家。我们把这些道家的人称为新道家，把这些儒家的人称为新儒家。正是这些运动使中国哲学既入世而又出世...		  【文件名:\当代\CWAC\APB0050.txt	文章标题:	作者:】
",v,0
"54:...是许多教师中的一个教师。但是他死后，逐渐被认为是至圣先师，高于其他一切教师。到公元前二世纪，他的地位更加提高。当时许多儒家的人认为，孔子曾经真地接受天命，继周而王。他虽然没有真正登极，但是就理想上说，他是君...		  【文件名:\当代\CWAC\APB0050.txt	文章标题:	作者:】
",v,0
"55:...以我不认为目前的内忧外患是中国人在春秋战国以后所不熟悉的局面，当然目前的忧患的确具有世界规模，其后果更加严重。 		  【文件名:\当代\CWAC\APB0050.txt	文章标题:	作者:】
",a,0
